doc_id,row_index,category,matched_keyword,match_position,snippet,snippet_id,statement_class,statement_category,confidence
api_17,7,CCUS,"carbon capture, utilization and storage",2176,"...reducing 
emissions, with a focus on technologies evaluated based on the potential for the largest scale and most 
economic GHG emissions abatement opportunity across the economy.

Based upon our industry’s history and expertise we can help to further develop and promote the 
commercial promise of carbon capture, utilization and storage, and hydrogen technologies. API 
proposes to work with policymakers and other trade associations to:

• Fully appropriate funding for low carbon RD&D programs authorized in the Energy Act of 2020.
• Increase substantially Congress-appropriated funding for government research on a range of 
   low o...",0,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_17,7,CCUS,CCUS,2834,"...ogies, including capturing and storing carbon and production and 
   supply of hydrogen, with formal assessment of funded technologies on the basis of potential for 
   GHG abatement at the lowest cost. • Implement federal policies consistent with the NPC study to substantially increase support for CCUS to achieve “at-scale phase” deployment.
• Implement policies to expand the infrastructure needed to secure a place for these low carbon technologies in the economy.

3. Mitigate Emissions from Operations 

Flaring:
API proposes to advance to the second phase of its two-phased Flare Management Progr...",1,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_17,7,Hydrogen,hydrogen,2221,"...ogies evaluated based on the potential for the largest scale and most 
economic GHG emissions abatement opportunity across the economy.

Based upon our industry’s history and expertise we can help to further develop and promote the 
commercial promise of carbon capture, utilization and storage, and hydrogen technologies. API 
proposes to work with policymakers and other trade associations to:

• Fully appropriate funding for low carbon RD&D programs authorized in the Energy Act of 2020.
• Increase substantially Congress-appropriated funding for government research on a range of 
   low or no carbon te...",2,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_17,7,Hydrogen,hydrogen,2613,"...to:

• Fully appropriate funding for low carbon RD&D programs authorized in the Energy Act of 2020.
• Increase substantially Congress-appropriated funding for government research on a range of 
   low or no carbon technologies, including capturing and storing carbon and production and 
   supply of hydrogen, with formal assessment of funded technologies on the basis of potential for 
   GHG abatement at the lowest cost. • Implement federal policies consistent with the NPC study to substantially increase support for CCUS to achieve “at-scale phase” deployment.
• Implement policies to expand the infrast...",3,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_18,8,CCUS,"carbon capture, utilization and storage",32291,"...e of reducing emissions, with a focus on technologies evaluated based on the potential for the largest scale and most economic GHG emissions abatement opportunity across the economy.
Based upon our industry’s history and expertise we can help to further develop and promote the commercial promise of carbon capture, utilization and storage, and hydrogen technologies. **API proposes** to work with policymakers and other trade associations to:

• Fully appropriate funding for low carbon RD&D programs authorized in the Energy Act of 2020.
• Increase substantially Congress-appropriated funding for government research on a range of low or...",4,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_18,8,Hydrogen,hydrogen,32336,"...nologies evaluated based on the potential for the largest scale and most economic GHG emissions abatement opportunity across the economy.
Based upon our industry’s history and expertise we can help to further develop and promote the commercial promise of carbon capture, utilization and storage, and hydrogen technologies. **API proposes** to work with policymakers and other trade associations to:

• Fully appropriate funding for low carbon RD&D programs authorized in the Energy Act of 2020.
• Increase substantially Congress-appropriated funding for government research on a range of low or no carbon tec...",5,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_18,8,Hydrogen,hydrogen,32723,"...iations to:

• Fully appropriate funding for low carbon RD&D programs authorized in the Energy Act of 2020.
• Increase substantially Congress-appropriated funding for government research on a range of low or no carbon technologies, including capturing and storing carbon and production and
supply of hydrogen, with formal assessment of funded t",6,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_19,9,CCUS,CCUS,3889,"...==================================
===================
Issue Paper

API is conducting an overview of our current policies and industry initiatives on climate change, and the tangible benefits
these measures will have on reducing greenhouse gas emissions. This review includes the following items:

•	CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as
research, development and deployment funding to support technology breakthrough. API also supports
federal tax provisions incentivizing CCUS investment and deployment.
•	Methane - API supports cost-effect...",7,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_19,9,CCUS,CCUS,3973,"...g an overview of our current policies and industry initiatives on climate change, and the tangible benefits
these measures will have on reducing greenhouse gas emissions. This review includes the following items:

•	CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as
research, development and deployment funding to support technology breakthrough. API also supports
federal tax provisions incentivizing CCUS investment and deployment.
•	Methane - API supports cost-effective policies and direct regulation that achieve methane emission reductions
from new...",8,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
api_19,9,CCUS,CCUS,4125,"...use gas emissions. This review includes the following items:

•	CCUS - API supports policy reforms to infrastructure permitting and development for CCUS as well as
research, development and deployment funding to support technology breakthrough. API also supports
federal tax provisions incentivizing CCUS investment and deployment.
•	Methane - API supports cost-effective policies and direct regulation that achieve methane emission reductions
from new and existing sources across the supply chain. Additionally, the oil and natural gas industry remains committed
to the development and deployment of new...",9,,,"error: ""Could not resolve authentication method. Expected one of api_key, auth_token, or credentials to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
